"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 10 18:17:33 GMT 2025","Fri Jan 10 18:17:34 GMT 2025","1223","tests.users","test_users","TestUsersService","","","test_create_user",""
"passed","Fri Jan 10 18:17:31 GMT 2025","Fri Jan 10 18:17:33 GMT 2025","1689","tests.games","test_games","TestGamesService","","","test_get_users_list",""
