"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jan 10 17:40:49 GMT 2025","Fri Jan 10 17:40:49 GMT 2025","627","tests.users","test_users","TestUsersService","","","test_create_user",""
"failed","Fri Jan 10 17:40:48 GMT 2025","Fri Jan 10 17:40:49 GMT 2025","636","tests.games","test_games","TestGamesService","","","test_get_users_list",""
